物件番号,物件名,店舗名,物件種目,物件種別,ステータスと物件種別,レインズと物件種別,ステータス（公開、済み等）,都道府県,市区,町域,以降番地,小学校,中学校,路線,駅,バス停名１,バス乗車時間１,徒歩（分）,路線２,駅２,バス停名２,バス乗車時間２,徒歩（分）２,路線３,駅３,バス停名３,バス乗車時間３,徒歩（分）３,その他交通,その他交通徒歩（分）,現況,明渡,自社/他社,取引態様種別,備考,価格（万円）,最終取引価格（万円）,坪単価,建物構造,建物号室,土地面積（㎡）,土地坪,地目,建物面積（㎡）,建坪,間取,土地権利,借地料(円）,借地期間,完成,完成予定、完成済み,新築/中古,道路１,道路２,道路３,私道,私道面積（㎡）,専有面積（㎡）,バルコニー面積（㎡）,階数,所在階,管理費（円）,修繕費（円）,駐車場,駐車場（円/月）,管理形態,施工会社,管理会社,用途地域,その他規制,都市計画,建蔽率,容積率,設備,特記事項,業者名,業者電話番号,業者FAX,業者担当,物件登録日時,更新日時,広告掲載,ホームページ掲載,アットホーム掲載,HOMES掲載,SUUMO掲載,制限事項（SUUMO専用）,メモ（非公開情報）,参考資料,リゾート物件,収益物件,物件URL,ログイン時非掲載,取込緯度,取込経度
50695664,東区下江津,,土地,売地,売地,売地,公開,熊本県,熊本市東区,下江津,2丁目5-46,画図小学校　,湖東中学校,,,,,,,,,,,,,,,,セイラタウン北バス停,6,上物有,相談,他社,媒介,,"1,680",,,,,231.66,,宅地,,,,所有権,,,,,,南側:公道:幅員4m:間口15m,,,,,,,,,,,,,,,,1種低層,,市街化区域,40,80,プロパンガス（個別）:下水道:電気,,新産不動産株式会社,096-312-5070,,,,2019/6/17 12:36,,,,,,,,,,,,,32.7703878,130.7376565
50634121,北区室園町,,土地,売地,売地,売地,公開,熊本県,熊本市北区,室園町,"115番,116番",清水小学校,竜南中学校,,,,,,,,,,,,,,,,北熊本バス停,3,上物有,相談,他社,,,550,,,,,331.86,,宅地,,,,所有権,,,,,,東側::幅員4m:間口29m,,,,,,,,,,,,,,,,2種中高,,市街化区域,60,150,都市ガス:上水道:下水道:電気,,株式会社ハイコム,096-383-2112,096-383-2113,,,2019/6/14 11:25,,,,,,,,,,,,,32.8248449,130.7278962
50625109,南区城南町宮地,,土地,売地,売地,売地,公開,熊本県,熊本市南区,城南町宮地,485番19,隈庄小学校,下益城城南中学校,,,,,,,,,,,,,,,,城南総合出張所入口バス停,6,上物有,相談,他社,媒介,,600,,,,,175.16,,宅地,,,,所有権,,,,,,北西側:公道:幅員4m:間口8.7m,,,,,,,,,,,,,,,,2種住居,,市街化区域,50,100,プロパンガス（個別）:井戸:下水道,,株式会社COCOプランナーズ,096-383-4445,096-383-4445,,,2019/6/13 12:10,,,,,,,,,,,,,32.7114026,130.72752
50625097,東区新外,,土地,売地,売地,売地,公開,熊本県,熊本市東区,新外,3-61,山ノ内小学校,錦ヶ丘中学校,,,,,,,,,,,,,,,,新外中通りバス停,2,上物有,相談,他社,媒介,,"1,640",,,,,193.22,,宅地,,,,所有権,,,,,,南側:私道:幅員4m:間口3.5m,,,,,,,,,,,,,,,,2種中高,,市街化区域,60,150,都市ガス:上水道:下水道:電気,,エヌケイ企画,096-381-3205,096-382-6132,,,2019/6/13 11:54,,,,,,,,,,,,,32.798254,130.7649486
50625051,中央区壺川,,土地,売地,売地,売地,公開,熊本県,熊本市中央区,壺川,2丁目4番23号,壺川小学校,京陵中学校,,,,,,,,,,,,,,,,船場バス停,1,上物有,,,,,"1,980",,,,,266.84,,宅地,,,,所有権,,,,,,南側:私道:幅員4m:間口15.1m,,,,,,,,,,,,,,,,2種中高,,市街化区域,60,160,都市ガス:上水道:下水道:電気,,有限会社モリ不動産,096-356-1835,096-356-1878,,,2019/6/13 11:55,,,,,,,,,,,,,32.8211905,130.7101731
50625031,北区龍田,,土地,売地,売地,売地,公開,熊本県,熊本市北区,龍田,7丁目251番1,龍田小学校,龍田中学校,,,,,,,,,,,,,,,,立田幼稚園前バス停,5,更地,,他社,媒介,,"1,050",,,,,434,,畑,,,,所有権,,,,,,南側:公道,,,,,,,,,,,,,,,,2種中高,埋蔵文化財財宝蔵地内　農地用の5条申請,市街化区域,60,150,上水道:下水道:側溝,,株式会社光の森不動産,096-233-2878,096-202-4562,,,2019/6/13 11:57,,,,,,,,,,,,,32.8364498,130.7627325
50625007,北区麻生田,,土地,売地,売地,売地,公開,熊本県,熊本市北区,麻生田,4丁目9-40,麻生田小学校,清水中学校,,,,,,,,,,,,,,,,石倉バス停,5,上物有,相談,他社,専属専任,,800,,,,,132.28,,宅地,,,,所有権,,,,,,南側:公道:幅員4m， 西側:私道:幅員6.59m,,,,,,,,,,,,,,,,1種中高,,市街化区域,60,150,プロパンガス（個別）:上水道:下水道:電気,,株式会社ジョイント,096-233-2341,096-233-2342,,,2019/6/13 11:16,,,,,,,,,,,,,32.8503322,130.7482166
50570590,北区梶尾町,,戸建,戸建,戸建,戸建,公開,熊本県,熊本市北区,梶尾町,鶴ノ原1790-64,北部東小学校,北部中学校,,,,,,,,,,,,,,,,鶴の原温泉バス停,2,上物有,即,他社,媒介,,"1,350",,,木造,,198.5,,宅地,91.87,,3DK,所有権,,,1979/3/20,,,西側:公道:幅員5m:間口14.5m,,,,,,,,,,,,,,,,1種中高,,市街化区域,60,150,プロパンガス（個別）:上水道:下水道:電気,駐車場2台分,株式会社辻不動産,096-3448813,096-3448851,,,2019/6/11 12:19,,,,,,,,,,,,,32.8691625,130.7274372
50570577,東区長嶺東,,土地,売地,売地,売地,公開,熊本県,熊本市東区,長嶺東,810番3,託麻南小学校,長嶺中学校,,,,,,,,,,,,,,,,熊本工業専門学校前バス停,6,更地,相談,他社,媒介,農地転用手続き要　,"1,660",,,,,262,,宅地,,,,所有権,,,,,,北側:公道:幅員4m:間口4m,,,,,,,,,,,,,,,,2種低層,,市街化区域,60,150,,,株式会社リアルサービス,096-283-7772,096-283-7773,,,2019/6/11 11:30,,,,,,,,,,,,,32.8234287,130.7779272
50570533,東区長嶺東,,土地,売地,売地,売地,公開,熊本県,熊本市東区,長嶺東,809番,託麻南小学校,長嶺中学校,,,,,,,,,,,,,,,,熊本工業専門学校前バス停,6,更地,相談,他社,媒介,農地転用手続き要　,"1,450",,,,,219,,宅地,,,,所有権,,,,,,北側:公道:幅員4m:間口4m,,,,,,,,,,,,,,,,2種低層,,市街化区域,60,150,,,株式会社リアルサービス,096-283-7772,096-283-7773,,,2019/6/11 11:28,,,,,,,,,,,,,32.8234287,130.7779272
50570348,東区長嶺東,,土地,売地,売地,売地,公開,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,450",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019/6/11 10:54,,,,,,,,,,,,,,
50550107,中央区帯山5丁目,,土地,売地,売地,売地,公開,熊本県,熊本市中央区,帯山,5丁目38番2丁目5号,帯山小学校,帯山.西原中学校,,,,,,,,,,,,,,,,帯山バス停,4,上物有,相談,他社,媒介,,"2,960",,,,,296.46,,宅地,,,,所有権,,,,,,南側:私道:幅員4m,,,,,,,,,,,,,,,,1種中高,前面道路D-2判定※再建築時、43条但し書の許可必要,市街化区域,60,150,都市ガス:上水道:下水道,,株式会社COCOプランナーズ,096-383-4445,096-383-4445,,,2019/6/10 13:12,,,,,,,,,,,,,,
50549900,北区清水岩倉,,土地,売地,売地,売地,公開,熊本県,熊本市北区,清水岩倉,1丁目531-1,清水小学校,清水中学校,,,,,,,,,,,,,,,,清水ヶ丘バス停,,更地,即,,,竜南中学校緩衝地区　宅地造成等規制区域　2016年熊本地震により地盤沈下、軟弱の恐れがあります。,770,,,,,249.09,,宅地,,,,所有権,,,,,,東側:公道:幅員4m:間口20m,,,,,,,,,,,,,,,,1種低層,がけ条例,市街化区域,40,80,プロパンガス（個別）:上水道:下水道:電気,,株式会社明和不動産/住宅事業部,096-322-1508,096-322-1577,,,2019/6/10 12:28,,,,,,,,,,,,,32.841354,130.7367656
50549784,南区上ノ郷,,土地,売地,売地,売地,公開,熊本県,熊本市南区,上ノ郷,2丁目,日吉小学校,日吉中学校,,,,,,,,,,,,,,,,西熊本駅,9,更地,相談,,,,"1,900",,,,,356.48,,宅地,,,,所有権,,,,,,西側:公道:幅員5m:間口8.8m,,,,,,,,,,,,,,,,2種中高,都市計画法他制限　農地法　文化財保護法,市街化区域,60,200,上水道:下水道,,三井住友トラスト不動産株式会社熊本センター,096-320-8818,096-320-8818,,,2019/6/10 11:15,,,,,,,,,,,,,32.767454,130.686699
50488028,上益城郡益城町,,土地,売地,売地,売地,公開,熊本県,上益城郡益城町,砥川,9号地,飯野小学校,益城中学校,,,,,,,,,,,,,,,,砥川バス停,12,更地,相談,他社,媒介,,792,,,,,261.68,,畑,,,,所有権,,,,,,,,,,,,,,,,,,,,,,,集落内開発,市街化調整区域,40,80,上水道:下水道,,ERAラクラス,096-327-9657,096-352-9663,,,2019/6/7 14:20,,,,,,,,,,,,,32.7588217,130.8196919
50488027,上益城郡益城町,,土地,売地,売地,売地,公開,熊本県,上益城郡益城町,砥川,8号地,飯野小学校,益城中学校,,,,,,,,,,,,,,,,砥川バス停,12,更地,相談,他社,媒介,,850,,,,,279.86,,畑,,,,所有権,,,,,,,,,,,,,,,,,,,,,,,集落内開発,市街化調整区域,40,80,上水道:下水道,,ERAラクラス,096-327-9657,096-352-9663,,,2019/6/7 14:16,,,,,,,,,,,,,32.7588217,130.8196919
50488026,上益城郡益城町,,土地,売地,売地,売地,公開,熊本県,上益城郡益城町,砥川,7号地,飯野小学校,益城中学校,,,,,,,,,,,,,,,,砥川バス停,12,更地,相談,他社,媒介,,870,,,,,263.44,,畑,,,,所有権,,,,,,,,,,,,,,,,,,,,,,,集落内開発,市街化調整区域,40,80,上水道:下水道,,ERAラクラス,096-327-9657,096-352-9663,,,2019/6/7 14:15,,,,,,,,,,,,,32.7588217,130.8196919
50488025,上益城郡益城町,,土地,売地,売地,売地,公開,熊本県,上益城郡益城町,砥川,6号地,飯野小学校,益城中学校,,,,,,,,,,,,,,,,砥川バス停,12,更地,相談,他社,媒介,,750,,,,,202.77,,畑,,,,所有権,,,,,,,,,,,,,,,,,,,,,,,集落内開発,市街化調整区域,40,80,上水道:下水道,,ERAラクラス,096-327-9657,096-352-9663,,,2019/6/7 14:12,,,,,,,,,,,,,32.7588217,130.8196919
50488024,上益城郡益城町,,土地,売地,売地,売地,公開,熊本県,上益城郡益城町,砥川,5号地,飯野小学校,益城中学校,,,,,,,,,,,,,,,,砥川バス停,12,更地,相談,他社,媒介,,800,,,,,214.81,,畑,,,,所有権,,,,,,,,,,,,,,,,,,,,,,,集落内開発,市街化調整区域,40,80,上水道:下水道,,ERAラクラス,096-327-9657,096-352-9663,,,2019/6/7 14:11,,,,,,,,,,,,,32.7588217,130.8196919
50488023,上益城郡益城町,,土地,売地,売地,売地,公開,熊本県,上益城郡益城町,砥川,4号地,飯野小学校,益城中学校,,,,,,,,,,,,,,,,砥川バス停,12,更地,相談,他社,媒介,,982,,,,,368.89,,畑,,,,所有権,,,,,,,,,,,,,,,,,,,,,,,集落内開発,市街化調整区域,40,80,上水道:下水道,,ERAラクラス,096-327-9657,096-352-9663,,,2019/6/7 14:09,,,,,,,,,,,,,32.7588217,130.8196919
50488022,上益城郡益城町,,土地,売地,売地,売地,公開,熊本県,上益城郡益城町,砥川,3号地,飯野小学校,益城中学校,,,,,,,,,,,,,,,,砥川バス停,12,更地,相談,他社,媒介,,833,,,,,275.41,,畑,,,,所有権,,,,,,,,,,,,,,,,,,,,,,,集落内開発,市街化調整区域,40,80,上水道:下水道,,ERAラクラス,096-327-9657,096-352-9663,,,2019/6/7 14:07,,,,,,,,,,,,,32.7588217,130.8196919
50488018,上益城郡益城町,,土地,売地,売地,売地,公開,熊本県,上益城郡益城町,砥川,2号地,飯野小学校,益城中学校,,,,,,,,,,,,,,,,砥川バス停,12,更地,相談,他社,媒介,,860,,,,,282.89,,畑,,,,所有権,,,,,,,,,,,,,,,,,,,,,,,集落内開発,市街化調整区域,40,80,上水道:下水道,,ERAラクラス,096-327-9657,096-352-9663,,,2019/6/7 14:04,,,,,,,,,,,,,32.7588217,130.8196919
50488016,上益城郡益城町,,土地,売地,売地,売地,公開,熊本県,上益城郡益城町,砥川,1号地,飯野小学校,益城中学校,,,,,,,,,,,,,,,,砥川バス停,12,更地,相談,他社,媒介,,996,,,,,373.99,,畑,,,,所有権,,,,,,,,,,,,,,,,,,,,,,,集落内開発,市街化調整区域,40,80,上水道:下水道,,ERAラクラス,096-327-9657,096-352-9663,,,2019/6/7 14:05,,,,,,,,,,,,,32.7588217,130.8196919
50487913,中央区出水,,土地,売地,売地,売地,公開,熊本県,熊本市中央区,出水,5丁目7-84,出水南小学校,出水中学校,,,,,,,,,,,,,,,,白山神社前バス停,8,上物有,即,他社,媒介,,"1,250",,,,,165.28,,宅地,,,,所有権,,,,,,,,,,,,,,,,,,,,,,2種中高,,市街化区域,120,200,,,株式会社すがコーポレーション/熊本中央南店,096-372-1101,096-372-1103,,,2019/6/7 11:25,,,,,,,,,,,,,,
50487855,中央区九品寺,,土地,売地,売地,売地,公開,熊本県,熊本市中央区,九品寺,1丁目,白川小学校,白川中学校,,,,,,,,,,,,,,,,尚絅高校前バス停,3,上物有,相談,他社,媒介,,"2,400",,,,,119.17,,宅地,,,,所有権,,,,,,北西側:公道:幅員4m:間口13.5m， 北東側:公道:幅員5.5m:間口8.5m,,,,,,,,,,,,,,,,商業,,市街化区域,80,400,,,IR開発,096-366-0100,096-366-0103,,,2019/6/7 11:14,,,,,,,,,,,,,32.7931947,130.7171244
50487841,北区清水岩倉,,土地,売地,売地,売地,公開,熊本県,熊本市北区,清水岩倉,3丁目13番,麻生田小学校,清水中学校,,,,,,,,,,,,,,,,岩倉台南バス停,1,更地,即,他社,媒介,,"1,040",,,,,274,,宅地,,,,所有権,,,,,,南側:公道:幅員9m， 西側:公道:幅員4m,,,,,,,,,,,,,,,,1種中高,,市街化区域,40,80,都市ガス:上水道:下水道,,熊本不動産事務所,096-273-9719,096-273-9724,,,2019/6/7 10:58,,,,,,,,,,,,,32.8424487,130.7453962
50487798,南区浜口町,,土地,売地,売地,売地,公開,熊本県,熊本市南区,浜口町,32964,飽田東小学校,飽田中学校,,,,,,,,,,,,,,,,孫代バス停,3,更地,相談,他社,媒介,,"1,170",,,,,259,,畑,,,,所有権,,,,,,南側:公道:幅員4.3m:間口15.5m， 西側:公道:幅員4m:間口15.5m,,,,,,,,,,,,,,,,1種中高,景観法　農地法　航空法,市街化区域,60,150,上水道:下水道,,株式会社コスギ不動産/売買事業部,096-375-5588,096-372-5400,,,2019/6/11 13:01,,,,,,,,,,,,,32.7589704,130.6530261
50475328,西区上代,,土地,売地,売地,売地,公開,熊本県,熊本市西区,上代,9丁目7-13,城山小学校,三和中学校,,,,,,,,,,,,,,,,稲荷入口バス停,3,更地,相談,,,,"1,890",,,,,415.9,,宅地,,,,所有権,,,,,,東側:公道:幅員4.8m:間口13.1m， 南側:公道:幅員3.5m:間口9.8m,,,,,,,,,,,,,,,,近隣商業,,市街化区域,80,200,上水道:下水道,,株式会社明京,096-385-3301,096-385-3401,,,2019/6/18 13:32,,,,,,,,,,,,,,
50475239,南区近見,,土地,売地,売地,売地,公開,熊本県,熊本市南区,近見,2丁目2439-3,日吉小学校,日吉中学校,,,,,,,,,,,,,,,,下近見バス停,1,更地,相談,,,,"1,025",,,,,135.54,,宅地,,,,所有権,,,,,,北側:公道:幅員6.5m,,,,,,,,,,,,,,,,2種中高,,市街化区域,60,200,,,新産不動産株式会社,096-312-5070,096-312-5070,,,2019/6/6 12:01,,,,,,,,,,,,,32.7642634,130.687333
50475184,西区池田,,土地,売地,売地,売地,公開,熊本県,熊本市西区,池田,1丁目18-46,池田小学校,京陵中学校,,,,,,,,,,,,,,,,出町バス停,2,更地,即,他社,媒介,,620,,,,,171,,宅地,,,,所有権,,,,,,北側:公道:幅員3.7m， 西側:公道:幅員4m,,,,,,,,,,,,,,,,2種中高,,市街化区域,60,200,下水道,,熊本不動産事務所,096-273-9719,096-273-9724,,,2019/6/6 11:23,,,,,,,,,,,,,32.8227555,130.703835
50430336,南区城南町東阿高,,土地,売地,売地,売地,公開,熊本県,熊本市南区,城南町東阿高,1783-15,豊田小学校,下益城城南中学校,,,,,,,,,,,,,,,,公会堂前バス停,7,更地,即,他社,専属専任,,100,,,,,168,,山林,,,,所有権,,,,,,南側:私道:幅員5m:間口14.91m， 北西側:私道:幅員5m:間口15.64m,,,,,,,,,,,,,,,,無指定,集落内開発区域内　土砂災害警戒区域内,市街化調整区域,40,80,,,株式会社ホームステージ,096-385-8080,096-385-8081,,,2019/6/4 11:31,,,,,,,,,,,,,32.6895159,130.7251687
50430318,東区八反田,,土地,売地,売地,売地,公開,熊本県,熊本市東区,八反田,1丁目16-5,託麻西小学校,西原中学校,,,,,,,,,,,,,,,,託麻団地入口バス停,5,更地,相談,他社,媒介,都市計画道路　下南部区画線　　,"1,250",,,,,206,,宅地,,,,所有権,,,,,,北西側:公道:幅員4.6m,,,,,,,,,,,,,,,,1種中高,埋蔵文化財　乾原.迎八反田遺跡　,市街化区域,60,150,上水道:下水道,,株式会社すがコーポレーション/熊本東店,096-383-8001,096-383-8002,,,2019/6/11 12:10,,,,,,,,,,,,,,
50349705,南区銭塘町,,土地,売地,売地,売地,公開,熊本県,熊本市南区,銭塘町,2732番１,銭塘小学校,天明中学校,,,,,,,,,,,,,,,,銭塘郵便局前バス停,3,上物有,相談,他社,媒介,,"1,130",,,,,624.78,,宅地,,,,所有権,,,,,,東側:公道:幅員3.3m,,,,,,,,,,,,,,,,,集落内開発地域内　道路中心後退有,調整区域,40,80,上水道:電気,,藤木クリエート,096-289-2139,096-286-8425,,,2019/6/18 13:36,,,,,,,,,,,,,32.7396741,130.6438266
50334322,南区野田,,土地,売地,売地,売地,公開,熊本県,熊本市南区,野田,1丁目2-16,川尻小学校,城南中学校,,,,,,,,,,,,,,,,大慈禅寺バス停,8,上物有,相談,他社,媒介,,"1,350",,,,,498.13,,,,,,所有権,,,,,,,,,,,,,,,,,,,,,,2種中高,"要農地転用,22条区域",市街化区域,60,150,プロパンガス（個別）:上水道:下水道,,株式会社ＳＳＩランド,096-285-8419,096-285-8491,,,2019/5/31 11:35,,,,,,,,,,,,,32.7321387,130.686699
50334292,南区白藤,,土地,売地,売地,売地,公開,熊本県,熊本市南区,白藤,2丁目2-60,力合小学校,力合中学校,,,,,,,,,,,,,,,,白藤東原バス停,3,上物有,相談,他社,媒介,,700,,,,,380.36,,宅地,,,,所有権,,,,,,東側:私道:幅員3m:間口2m,,,,,,,,,,,,,,,,1種住居,43条ただし書き許可必要,市街化区域,60,200,上水道:下水道:電気,,エイブルネットワーク熊本地所株式会社,096-327-9775,096-346-4110,,,2019/6/17 14:05,,,,,,,,,,,,,32.7510855,130.6820426
50324369,南区城南町坂野,,土地,売地,売地,売地,公開,熊本県,熊本市南区,城南町坂野,1号地,杉上小学校,下益城城南中学校,,,,,,,,,,,,,,,,火の国マルシェ前バス停,10,,即,他社,媒介,,550,,,,,242.36,,宅地,,,,所有権,,,,,,西側:公道:幅員4m:間口14m,,,,,,,,,,,,,,,,,集落内開発地域,市街化調整区域,40,80,プロパンガス（個別）:井戸:浄化槽（個別）:側溝,,大沢不動産,0964-28-4809,0964-28-4809,,,2019/6/18 13:35,,,,,,,,,,,,,32.7244355,130.7424667
50324356,中央区出水,,土地,売地,売地,売地,公開,熊本県,熊本市中央区,出水,6丁目24-5,出水南小学校,出水中学校,,,,,,,,,,,,,,,,八王子中央公園前バス停,5,上物有,相談,他社,媒介,,"2,240",,,,,219,,宅地,,,,所有権,,,,,,北側:公道:幅員6m,,,無,,,,,,,,,,,,,1種住居,景観法　航空法,市街化区域,60,200,,,株式会社コスギ不動産/売買事業部,096-375-5588,096-372-5400,,,2019/6/11 13:01,,,,,,,,,,,,,32.7804903,130.7285298
50324334,西区上代,,土地,売地,売地,売地,公開,熊本県,熊本市西区,上代,1丁目19-41,城山小学校,三和中学校,,,,,,,,,,,,,,,,上代バス停,3,上物有,相談,他社,媒介,,"1,400",,,,,209.48,,宅地,,,,所有権,,,,,,南側:公道:幅員9.33m， 西側:公道:幅員4m,,,無,,,,,,,,,,,,,2種中高,景観法　航空法,市街化区域,60,200,上水道:下水道,,株式会社コスギ不動産/売買事業部,096-375-5588,096-372-5400,,,2019/6/11 13:02,,,,,,,,,,,,,,
50324318,西区蓮台寺,,土地,売地,売地,売地,公開,熊本県,熊本市西区,蓮台寺,2丁目9-18,白坪小学校,花陵中学校,,,,,,,,,,,,,,,,町口神社バス停,4,上物有,相談,他社,媒介,,"1,600",,,,,257.85,,宅地,,,,所有権,,,,,,西側:公道:幅員4m:間口20.8m,,,,,,,,,,,,,,,,1種住居,景観法　航空法　文化財保護法,市街化区域,60,200,上水道:下水道,,株式会社コスギ不動産/売買事業部,096-375-5588,096-372-5400,,,2019/6/11 13:02,,,,,,,,,,,,,32.7732916,130.6899681
50324278,西区蓮台寺,,土地,売地,売地,売地,公開,熊本県,熊本市西区,蓮台寺,3丁目1089番1,白坪小学校,花陵中学校,,,,,,,,,,,,,,,,蓮台寺回転地バス停,14,,相談,他社,媒介,,"1,230",,,,,240,,畑,,,,所有権,,,,,,北側:公道:幅員5.7m:間口18.5m,,,,,,,,,,,,,,,,1種住居,景観法　航空法　農地法,市街化区域,60,200,上水道:下水道,,株式会社コスギ不動産/売買事業部,096-375-5588,096-372-5400,,,2019/6/11 13:02,,,,,,,,,,,,,32.7745157,130.686699
